#AGWN
00058743-n	grc:lemma	πτῆσις
00058743-n	grc:lemma	δρασμός
00058743-n	grc:lemma	ἐξυπάλυξις
#00062451-n	eng:def	0	the act of consummating something (a desire or promise etc)
00062451-n	grc:lemma	τελείωσις
00062451-n	grc:lemma	τέλος
00062451-n	grc:lemma	τέλεσις
00062451-n	grc:lemma	ἄνη
#00062806-n	eng:def	0	the act of achieving an aim
00062806-n	grc:lemma	ἐπίτευξις
00062806-n	grc:lemma	τεῦξις
#00067707-n	eng:def	0	the act of surrendering (usually under agreed conditions)
00067707-n	grc:lemma	ὀλίσθημα
00067707-n	grc:lemma	ῥέπω
00067707-n	grc:lemma	πέσημα
00067707-n	grc:lemma	ἐκδίδωμι
00067707-n	grc:lemma	ἀμύω
00067707-n	grc:lemma	διακαινίζομαι
00067707-n	grc:lemma	ἐπιβρίθω
00067707-n	grc:lemma	πτῶμα
00067707-n	grc:lemma	καταπίπτω
00067707-n	grc:lemma	κατάπτωσις
00067707-n	grc:lemma	διάπτωσις
00067707-n	grc:lemma	ὀλισθάνω
00067707-n	grc:lemma	πίπτω
00067707-n	grc:lemma	πτῶσις
#00070965-n	eng:def	0	a wrong action attributable to bad judgment or ignorance or inattention
00070965-n	grc:lemma	πλημμέλημα
00070965-n	grc:lemma	σφαλμός
00070965-n	grc:lemma	πταῖσμα
00070965-n	grc:lemma	ἁμαρτάς
00070965-n	grc:lemma	ἀστόχημα
00070965-n	grc:lemma	ἐξαμαρτία
00070965-n	grc:lemma	μάτη
00070965-n	grc:lemma	ἀγνόημα
00070965-n	grc:lemma	ἁμάρτημα
00070965-n	grc:lemma	ἀμπλάκημα
00070965-n	grc:lemma	διαμάρτημα
00070965-n	grc:lemma	ἀβλέπτημα
00070965-n	grc:lemma	ἀλόγημα
00070965-n	grc:lemma	ἁμαρτία
00070965-n	grc:lemma	παρόραμα
#00072068-n	eng:def	0	(baseball) a failure of a defensive player to make an out when normal play would have sufficed
00072068-n	grc:lemma	σφαλμός
00072068-n	grc:lemma	ἁμαρτάς
00072068-n	grc:lemma	ἐξαμαρτία
00072068-n	grc:lemma	ἀγνόημα
00072068-n	grc:lemma	ἀλόγημα
00072068-n	grc:lemma	παρόραμα
#00072261-n	eng:def	0	an act that brings discredit to the person who does it
00072261-n	grc:lemma	μιαίνω
00072261-n	grc:lemma	μορύσσω
00072261-n	grc:lemma	δευσοποιέω
00072261-n	grc:lemma	σπίλωμα
00072261-n	grc:lemma	χριστέον
00072261-n	grc:lemma	σπίλος
00072261-n	grc:lemma	στιγμή
00072261-n	grc:lemma	προδιαχρίω
00072261-n	grc:lemma	σπιλόω
00072261-n	grc:lemma	καταχρίω
00072261-n	grc:lemma	ἐπιμυρίζω
00072261-n	grc:lemma	κηλιδόω
00072261-n	grc:lemma	μόλυσμα
00072261-n	grc:lemma	ἐπισμάω
00072261-n	grc:lemma	χωρίον
00072261-n	grc:lemma	μίασμα
00072261-n	grc:lemma	σπιλάς
00072261-n	grc:lemma	ἀρδαλόω
00072261-n	grc:lemma	κηλίς
00072261-n	grc:lemma	ὄμοργμα
00072261-n	grc:lemma	μολύνω
00072261-n	grc:lemma	προχρίω
